x,y,z,r,curvature,torsion
61.0312,88.5938,0.846708,0,0.0536737,0.0291359
61.0322,88.6329,1.13982,2.91171,0.052946,0.0306854
61.033,88.6723,1.43247,2.91885,0.0521761,0.0324776
61.0336,88.7121,1.72419,2.90861,0.051361,0.0345491
61.034,88.7526,2.01453,2.97665,0.050498,0.0369433
61.0341,88.7941,2.30302,2.97508,0.049584,0.0397139
61.0338,88.8367,2.5892,2.95034,0.0482812,0.0440989
61.033,88.8808,2.87261,2.99157,0.0472377,0.0480029
61.0316,88.9265,3.15278,2.94484,0.0461349,0.05254
61.0295,88.974,3.42925,2.91101,0.0449708,0.0578232
61.0267,89.0237,3.70157,2.87735,0.043744,0.063989
61.0231,89.0756,3.96943,2.86619,0.0420102,0.0738366
61.0184,89.1299,4.23319,2.86719,0.0406375,0.0827044
61.0127,89.1866,4.49337,2.88247,0.0392049,0.0931332
61.0055,89.2457,4.75048,2.86198,0.0377158,0.105438
60.9969,89.3072,5.00505,2.89567,0.0361753,0.120018
60.9867,89.3711,5.2576,2.91133,0.0340537,0.143883
60.9746,89.4375,5.50864,2.95541,0.0324247,0.165897
60.9605,89.5064,5.75871,2.92676,0.0307784,0.192272
60.9442,89.5777,6.0083,2.91033,0.0291332,0.223874
60.9256,89.6516,6.25795,2.93268,0.0275136,0.261405
60.9046,89.7279,6.50804,2.92272,0.025452,0.321345
60.8814,89.8063,6.75842,2.88696,0.0240354,0.373427
60.8562,89.8866,7.00878,2.81802,0.0227904,0.429279
60.8293,89.9682,7.25884,2.84522,0.021782,0.484195
60.801,90.0509,7.50831,2.8099,0.0210792,0.531252
60.7715,90.1343,7.75689,2.80667,0.0207282,0.567318
60.7412,90.218,8.00429,2.77926,0.0209613,0.566398
60.7102,90.3016,8.25021,2.82793,0.0216343,0.541627
60.679,90.3848,8.49438,2.79672,0.0227273,0.499028
60.6476,90.4672,8.73649,2.8098,0.0241956,0.447058
60.6164,90.5485,8.97637,2.79301,0.026637,0.376077
60.5854,90.6284,9.21439,2.78515,0.0287546,0.32749
60.5544,90.7067,9.45101,2.80735,0.0310569,0.285095
