x,y,z,r,curvature,torsion
59.587,91.4186,25.4364,2.66179,0.133682,0.491191
59.7522,91.2419,25.5769,2.69017,0.132105,0.499915
59.9236,91.0646,25.7092,2.71146,0.134303,0.48511
60.1015,90.8883,25.8332,2.70334,0.14014,0.450771
60.2861,90.7147,25.9492,2.66863,0.149308,0.404915
60.478,90.5454,26.057,2.71973,0.1614,0.355539
60.6772,90.382,26.157,2.70104,0.175964,0.308161
60.8842,90.2261,26.249,2.69642,0.192515,0.265535
61.0992,90.0794,26.3332,2.73043,0.210518,0.22845
61.3226,89.9435,26.4097,2.67821,0.229343,0.196631
61.5542,89.8191,26.4785,2.74206,0.184241,-0.547297
61.7926,89.7039,26.5398,2.72558,0.142798,-0.908342
62.0357,89.5946,26.5937,2.65845,0.110691,-1.50542
62.2815,89.4878,26.6403,2.67637,0.0976556,-1.93422
62.5281,89.3803,26.6797,2.70004,0.110617,-1.51667
62.7736,89.2688,26.7122,2.69888,0.142917,-0.918038
63.0158,89.1499,26.7377,2.73695,0.18484,-0.553948
63.253,89.0206,26.7565,2.6582,0.230675,-0.355404
63.483,88.8773,26.7687,2.65201,0.276638,-0.241409
63.704,88.7169,26.7743,2.62191,0.319062,-0.170704
63.9146,88.5372,26.7736,2.53663,0.25396,0.166714
64.1161,88.341,26.767,2.55678,0.192973,0.261799
64.3107,88.1321,26.7547,2.58288,0.137483,0.473914
64.5004,87.9143,26.7373,2.64269,0.0888661,1.06771
64.6872,87.6916,26.715,2.63546,0.0545177,2.75307
64.873,87.4678,26.6883,2.61811,0.0591328,2.34766
65.0601,87.2468,26.6575,2.60768,0.0976675,0.892271
65.2504,87.0323,26.6231,2.72946,0.147847,0.415818
65.4458,86.8284,26.5854,2.68014,0.204465,0.237445
65.6486,86.6389,26.5448,2.71234,0.266383,0.154396
65.8601,86.4665,26.5017,2.72594,0.231909,0.00246727
66.0794,86.3095,26.4565,2.6927,0.193275,0.00371552
66.3052,86.1653,26.4096,2.66714,0.15227,0.00612113
66.536,86.0311,26.3613,2.65022,0.110153,0.0118019
66.7704,85.904,26.3122,2.64546,0.0676548,0.0313755
67.0069,85.7814,26.2625,2.66613,0.025119,0.228012
67.2442,85.6605,26.2127,2.65933,0.0178072,0.455207
67.4807,85.5386,26.1631,2.67393,0.0604919,0.0396462
67.7151,85.4128,26.1142,2.67542,0.103395,0.0136331
