x,y,z,r,curvature,torsion
76.247,99.281,0.28135,0,0.058264,0.0059117
76.216,99.234,0.55603,3.1112,0.057939,0.0061484
76.186,99.188,0.83066,3.0643,0.057569,0.0065067
76.153,99.145,1.1052,3.1374,0.057146,0.0069967
76.12,99.104,1.3795,3.1322,0.056661,0.0076286
76.084,99.068,1.6537,3.1639,0.056104,0.0084121
76.045,99.037,1.9276,3.1023,0.055467,0.0093633
76.002,99.013,2.2011,3.0969,0.054478,0.010921
75.956,98.996,2.4743,3.0791,0.053621,0.012312
75.904,98.988,2.7471,3.0985,0.052657,0.013925
75.848,98.99,3.0194,3.1136,0.051577,0.015797
75.786,99.002,3.2911,3.1473,0.050376,0.017934
75.719,99.023,3.5622,3.1849,0.049049,0.020383
75.649,99.052,3.8323,3.1407,0.047074,0.024271
75.574,99.087,4.1014,3.1681,0.045436,0.027723
75.497,99.127,4.3693,3.2355,0.043663,0.031754
75.419,99.17,4.6358,3.21,0.041753,0.036545
75.34,99.214,4.9007,3.2522,0.03971,0.0423
75.26,99.258,5.1639,3.2296,0.037537,0.049301
75.182,99.3,5.4252,3.2354,0.034448,0.061389
75.105,99.34,5.6844,3.2393,0.031998,0.073439
75.03,99.374,5.9413,3.2435,0.029444,0.089268
74.957,99.406,6.196,3.2263,0.026799,0.11066
74.887,99.435,6.4485,3.2711,0.024081,0.14047
74.818,99.464,6.6988,3.2678,0.021315,0.18346
74.751,99.493,6.9468,3.2156,0.017627,0.27596
74.684,99.525,7.1926,3.1629,0.014951,0.39128
74.619,99.559,7.4363,3.1856,0.012493,0.57144
74.555,99.598,7.6777,3.1532,0.010493,0.82537
74.491,99.644,7.917,3.1758,0.0093489,1.0587
74.428,99.696,8.1541,3.1633,0.0094668,1.0487
74.364,99.757,8.3891,3.1367,0.011578,0.71189
74.301,99.825,8.6229,3.1563,0.014152,0.47964
74.239,99.898,8.8563,3.1585,0.017205,0.32477
74.178,99.976,9.0902,3.1414,0.020549,0.22623
74.117,100.06,9.3254,3.138,0.024082,0.16231
74.058,100.14,9.5628,3.1244,0.027743,0.11915
74.001,100.22,9.8033,3.1404,0.032759,0.080521
73.946,100.29,10.048,3.1513,0.036591,0.06025
73.892,100.37,10.297,3.1517,0.040461,0.0447
73.842,100.43,10.552,3.0783,0.044354,0.032398
73.794,100.5,10.814,3.1132,0.048258,0.022378
73.748,100.55,11.081,3.1068,0.052158,0.01402
73.705,100.6,11.354,3.0897,0.057337,0.0048262
73.663,100.64,11.631,3.0969,0.061192,-0.0010329
73.623,100.67,11.912,3.081,0.065011,-0.0062195
73.585,100.69,12.196,3.0128,0.068787,-0.01077
73.548,100.71,12.482,3.0412,0.072513,-0.014839
73.512,100.72,12.771,3.0596,0.076183,-0.018545
