x,y,z,r,curvature,torsion
63,99.8438,0.844055,0,0.0383755,0.0919856
62.9457,99.8978,1.11293,2.95952,0.0374728,0.096336
62.8911,99.9523,1.38149,2.99615,0.0365851,0.101787
62.8357,100.008,1.64939,3.01559,0.035709,0.108476
62.7793,100.064,1.91633,2.98171,0.0348422,0.116537
62.7214,100.123,2.18196,2.96312,0.0339842,0.126088
62.6616,100.183,2.44597,3.05305,0.0328554,0.14141
62.5997,100.246,2.70803,2.99592,0.0320244,0.154987
62.5352,100.311,2.96781,2.97855,0.0312132,0.170307
62.4678,100.38,3.225,2.94475,0.0304307,0.187421
62.3971,100.453,3.47927,2.98341,0.0296885,0.206283
62.3229,100.53,3.73041,3.02034,0.029002,0.226404
62.2453,100.61,3.97865,2.99275,0.0282053,0.25438
62.1648,100.693,4.22438,2.94734,0.0277258,0.275378
62.0816,100.778,4.46793,2.93583,0.0273749,0.294956
61.9961,100.865,4.70968,2.94398,0.0271784,0.311902
61.9086,100.952,4.94998,2.98532,0.0271618,0.325098
61.8194,101.039,5.18919,3.02852,0.0273486,0.333205
61.7289,101.126,5.42768,3.02319,0.0279456,0.334696
61.6374,101.211,5.66581,2.97613,0.0286686,0.329024
61.5453,101.294,5.90392,2.98264,0.0296319,0.318327
61.4528,101.374,6.14234,3.00911,0.0308304,0.303802
61.3602,101.452,6.38117,3.02462,0.0322544,0.286824
61.2676,101.528,6.62047,2.98004,0.0338907,0.268578
61.1752,101.601,6.86028,2.90728,0.0363727,0.243777
61.0833,101.671,7.10066,2.9923,0.0384347,0.225924
60.9921,101.74,7.34166,2.92558,0.0406472,0.209294
60.9016,101.807,7.58335,2.90425,0.0429916,0.19411
60.8121,101.872,7.82577,2.90009,0.0454499,0.180528
60.7239,101.935,8.06899,3.01345,0.0480058,0.168572
60.637,101.997,8.31304,2.96093,0.0515412,0.154872
60.5516,102.057,8.55805,2.86844,0.0542726,0.146144
60.4674,102.115,8.80437,2.83202,0.0570606,0.138637
60.3843,102.171,9.0524,2.89849,0.059895,0.132233
60.3018,102.222,9.30256,2.88562,0.062766,0.126842
60.2197,102.269,9.55524,2.9329,0.0656648,0.122387
60.1378,102.312,9.81086,2.90649,0.0695613,0.117508
60.0556,102.348,10.0698,2.89677,0.0725,0.114445
59.9729,102.378,10.3326,2.88408,0.0754472,0.111866
59.8894,102.401,10.5994,2.92644,0.0783985,0.109618
59.8049,102.415,10.8709,2.96584,0.0813496,0.107573
59.7192,102.421,11.147,2.89448,0.0842957,0.105745
59.6332,102.419,11.4265,2.92349,0.0882089,0.103488
59.5481,102.409,11.7079,2.90809,0.0911298,0.101689
59.4651,102.392,11.9896,2.8218,0.094036,0.0998157
59.3851,102.367,12.27,2.85731,0.0969239,0.0978453
59.3094,102.336,12.5476,2.81625,0.0997908,0.0956406
59.2391,102.298,12.8208,2.82092,0.102634,0.0932117
59.1754,102.255,13.088,2.8454,0.106379,0.0896724
59.1192,102.206,13.3477,2.80041,0.10915,0.0868345
59.0719,102.153,13.5984,2.86995,0.11189,0.0838244
59.0341,102.094,13.8389,2.77817,0.114597,0.0806336
59.0051,102.032,14.0706,2.78665,0.117266,0.0773437
58.9842,101.964,14.2951,2.7256,0.120752,0.0728257
58.9701,101.892,14.5143,2.73303,0.123298,0.0693261
58.962,101.816,14.7299,2.75664,0.125772,0.0657431
58.9588,101.735,14.9435,2.75251,0.128158,0.062077
58.9595,101.65,15.1571,2.72497,0.13044,0.0583213
58.9632,101.56,15.3723,2.795,0.132596,0.054403
58.9689,101.466,15.5908,2.76726,0.13523,0.0488328
58.9755,101.367,15.8146,2.77648,0.136984,0.0444045
58.9826,101.264,16.0446,2.78576,0.138517,0.039899
58.9918,101.156,16.28,2.76388,0.139812,0.0354315
59.0053,101.046,16.5193,2.88367,0.140854,0.0309705
59.0252,100.932,16.7608,2.91506,0.14163,0.026512
59.0537,100.816,17.003,2.89569,0.142227,0.0206528
59.0929,100.698,17.2444,2.9445,0.142333,0.0162875
59.1449,100.578,17.4834,2.94405,0.142136,0.0119691
59.212,100.457,17.7186,2.96294,0.141635,0.00785324
59.2962,100.336,17.9483,2.94676,0.140837,0.0039197
59.3997,100.215,18.171,2.95044,0.13975,0.000144337
59.5239,100.094,18.3855,2.93217,0.137869,-0.00451617
59.6672,99.9737,18.5915,2.94896,0.136157,-0.00772915
59.8274,99.8527,18.789,3.03087,0.134202,-0.0107151
60.0019,99.7309,18.9782,3.05495,0.132027,-0.0133886
60.1886,99.6081,19.1591,3.03516,0.129654,-0.0157236
60.385,99.4838,19.3317,3.05983,0.127108,-0.0177184
60.5889,99.3575,19.4962,3.00269,0.123483,-0.019847
60.7978,99.2289,19.6524,3.04352,0.120624,-0.0210304
61.0095,99.0976,19.8006,3.00104,0.11767,-0.0218329
61.2216,98.9632,19.9407,2.91991,0.114641,-0.0223003
61.4322,98.8253,20.0728,2.91086,0.111555,-0.0224803
61.6412,98.6838,20.1974,2.87817,0.108425,-0.0223412
61.8488,98.5384,20.3147,2.90088,0.104205,-0.0216956
62.0553,98.3891,20.4252,2.86108,0.101015,-0.0209765
62.261,98.2357,20.5293,2.9004,0.0978101,-0.0200306
62.4661,98.078,20.6274,2.87557,0.0945921,-0.0188715
62.6709,97.9159,20.7198,2.90171,0.0913619,-0.0176271
62.8756,97.7493,20.807,2.92315,0.0881177,-0.016291
63.0807,97.5781,20.8893,2.92075,0.0837662,-0.0143741
63.2862,97.402,20.9672,2.94464,0.0804781,-0.0129828
63.4925,97.2211,21.0409,2.95186,0.0771637,-0.0116589
63.7,97.0368,21.1105,2.97684,0.0738185,-0.0104116
63.9091,96.8503,21.1759,3.00917,0.0704377,-0.00935417
64.12,96.6633,21.237,2.97476,0.0670169,-0.00854866
64.3332,96.477,21.2938,2.9651,0.0623879,-0.00794256
64.549,96.293,21.3462,3.0551,0.0588619,-0.00792489
64.7677,96.1126,21.3942,3.00751,0.0552871,-0.00838305
64.9899,95.9374,21.4376,3.03722,0.0516628,-0.00944536
65.2157,95.7688,21.4765,2.96139,0.0479898,-0.0112101
65.4457,95.6083,21.5107,3.00201,0.0430191,-0.0149387
65.6799,95.4566,21.5403,2.99164,0.0392398,-0.0192346
65.9179,95.3125,21.5656,2.99532,0.0354209,-0.0253574
66.1588,95.174,21.5871,2.9489,0.0315667,-0.0341358
66.4019,95.0393,21.6051,2.96067,0.0276829,-0.0471894
66.6464,94.9065,21.6202,2.99136,0.0237774,-0.0674879
66.8917,94.7735,21.6327,3.03269,0.0185595,-0.116955
67.137,94.6386,21.6431,3.01246,0.0146704,-0.192817
67.3814,94.4998,21.6518,3.04101,0.0108657,-0.358944
67.6244,94.3552,21.6592,3.00793,0.00732144,-0.800338
67.865,94.2028,21.6658,3.07183,0.00472653,-1.93081
68.1028,94.0415,21.6721,2.99936,0.00496657,-1.74931
68.3382,93.8726,21.6784,3.03548,0.00897525,-0.533585
68.5717,93.698,21.6851,3.04515,0.0127422,-0.264104
68.8039,93.5198,21.6928,3.0579,0.0166912,-0.154156
69.0353,93.34,21.7018,3.04162,0.0207244,-0.101082
69.2666,93.1606,21.7125,3.05363,0.0248067,-0.0723133
69.4983,92.9835,21.7254,3.0528,0.0289248,-0.0554627
69.731,92.8108,21.741,3.0065,0.0344654,-0.0427277
69.9652,92.6445,21.7596,2.96833,0.03866,-0.0373485
70.2015,92.4865,21.7816,2.91408,0.0428932,-0.0341161
70.4403,92.3382,21.8075,2.87885,0.0471717,-0.0323661
70.6809,92.1983,21.8373,2.88992,0.0515033,-0.0316925
70.9224,92.0649,21.8709,2.87899,0.0558967,-0.0318047
71.1639,91.9359,21.9083,2.84886,0.0618676,-0.0328401
71.4046,91.8094,21.9495,2.83315,0.0664428,-0.0341064
71.6434,91.6835,21.9944,2.8174,0.0711113,-0.035713
71.8796,91.5561,22.043,2.83136,0.0758824,-0.037583
72.1122,91.4253,22.0953,2.77515,0.0807633,-0.0395987
72.3403,91.2891,22.1512,2.82053,0.0857597,-0.0417575
72.5631,91.1456,22.2107,2.80129,0.0926074,-0.0448281
72.7799,90.9933,22.274,2.75435,0.0978825,-0.0471377
72.9913,90.8333,22.3417,2.70437,0.103271,-0.049469
73.1981,90.6671,22.4148,2.74708,0.108764,-0.0518459
73.4012,90.4961,22.4944,2.82203,0.114346,-0.0541439
73.6013,90.3221,22.5812,2.77969,0.119994,-0.0563678
73.7995,90.1464,22.6763,2.74061,0.127575,-0.0592934
73.9964,89.9707,22.7806,2.74245,0.133244,-0.0613659
74.1929,89.7965,22.895,2.72434,0.138838,-0.0633362
74.3899,89.6253,23.0204,2.72844,0.144293,-0.065264
74.5881,89.4587,23.1578,2.73006,0.149534,-0.0670453
74.7881,89.2979,23.3079,2.69465,0.154478,-0.0685796
74.9879,89.143,23.4697,2.66224,0.160456,-0.0703396
75.1855,88.9937,23.6422,2.70731,0.164353,-0.0714073
75.3785,88.8497,23.8243,2.68886,0.167642,-0.0721943
