,x,y,z,r,curvature,torsion
105,66.276,81.826,21.556,3.1439,0.042235,-0.27408
106,66.513,81.671,21.517,3.1731,0.038321,-0.33702
107,66.752,81.517,21.477,3.1756,0.034799,-0.41291
108,66.992,81.365,21.436,3.1827,0.031803,-0.49856
109,67.231,81.213,21.396,3.1452,0.029499,-0.58344
110,67.47,81.061,21.357,3.0781,0.027792,-0.66166
111,67.708,80.908,21.322,3.1235,0.027695,-0.66849
112,67.945,80.754,21.289,3.1042,0.028632,-0.62684
113,68.181,80.6,21.259,3.0831,0.030504,-0.55294
114,68.417,80.446,21.233,3.1449,0.03315,-0.46835
115,68.653,80.292,21.209,3.1425,0.036397,-0.38839
116,68.89,80.139,21.188,3.1293,0.041402,-0.29983
117,69.129,79.986,21.17,3.112,0.045513,-0.24779
118,69.369,79.834,21.156,3.1479,0.049834,-0.20636
119,69.611,79.684,21.144,3.1359,0.0543,-0.17352
120,69.855,79.534,21.136,3.1298,0.058862,-0.14741
121,70.103,79.386,21.131,3.1135,0.063479,-0.12653
122,70.353,79.24,21.129,3.1017,0.069661,-0.10487
123,70.605,79.096,21.131,3.12,0.074277,-0.092137
124,70.858,78.953,21.137,3.0843,0.078844,-0.08171
125,71.111,78.813,21.148,3.1149,0.083338,-0.073121
126,71.365,78.676,21.163,3.1038,0.087732,-0.066003
127,71.618,78.54,21.185,3.1134,0.092004,-0.060072
128,71.87,78.408,21.212,3.0501,0.097469,-0.053634
129,72.12,78.277,21.245,3.0083,0.10137,-0.049689
130,72.367,78.15,21.284,3.0076,0.10507,-0.046359
131,72.612,78.026,21.331,2.9861,0.10856,-0.043528
132,72.854,77.905,21.385,2.9438,0.11183,-0.041113
133,73.093,77.788,21.447,2.9476,0.11485,-0.039048
134,73.329,77.674,21.517,2.8902,0.11847,-0.036724
135,73.562,77.564,21.597,2.9137,0.12088,-0.035232
136,73.791,77.458,21.685,3.0746,0.12301,-0.033919
137,74.018,77.356,21.784,3.1546,0.12486,-0.032741
138,74.242,77.259,21.893,3.162,0.12643,-0.031657
139,74.462,77.166,22.013,3.1518,0.12771,-0.030649
140,74.679,77.079,22.144,3.177,0.12899,-0.029375
141,74.894,76.996,22.287,3.2354,0.12962,-0.028427
142,75.104,76.918,22.441,3.1916,0.13,-0.02747
143,75.31,76.844,22.605,3.2425,0.13012,-0.026498
144,75.51,76.773,22.777,3.2392,0.12999,-0.025514
145,75.705,76.704,22.956,3.2121,0.12963,-0.024504
146,75.893,76.638,23.142,3.1074,0.12882,-0.02311
147,76.075,76.573,23.334,3.2176,0.12798,-0.022058
148,76.248,76.509,23.529,3.1428,0.12696,-0.020995
149,76.412,76.446,23.728,3.1691,0.12577,-0.019919
150,76.568,76.382,23.928,3.1521,0.12443,-0.018893
151,76.714,76.317,24.13,3.1825,0.12294,-0.017934
152,76.85,76.252,24.332,3.1687,0.12075,-0.016756
153,76.979,76.187,24.536,3.1318,0.11897,-0.016034
154,77.1,76.122,24.74,3.1515,0.11708,-0.015486
155,77.214,76.059,24.946,3.1044,0.11509,-0.015114
156,77.322,75.998,25.153,3.1415,0.11301,-0.014945
157,77.425,75.939,25.361,3.1319,0.11084,-0.015013
158,77.523,75.883,25.57,3.1565,0.10859,-0.015328
159,77.618,75.83,25.781,3.1483,0.10546,-0.016196
160,77.71,75.781,25.993,3.156,0.10302,-0.017266
161,77.8,75.736,26.207,3.1165,0.10051,-0.018724
162,77.887,75.695,26.423,3.1738,0.097921,-0.020616
163,77.971,75.657,26.642,3.1267,0.095268,-0.023031
164,78.053,75.62,26.864,3.2017,0.092547,-0.026029
165,78.131,75.585,27.091,3.1416,0.08882,-0.03106
166,78.205,75.55,27.323,3.1198,0.085955,-0.03577
167,78.274,75.514,27.56,3.1657,0.083035,-0.041415
168,78.34,75.476,27.805,3.1254,0.080066,-0.048135
169,78.4,75.436,28.056,3.1373,0.077059,-0.056133
170,78.455,75.393,28.315,3.1199,0.074021,-0.065628
171,78.504,75.345,28.583,3.0321,0.069948,-0.081052
172,78.547,75.295,28.858,3.0401,0.0669,-0.094885
173,78.584,75.243,29.14,3.0067,0.063884,-0.11091
174,78.615,75.191,29.427,3.0042,0.060932,-0.12942
175,78.64,75.139,29.719,2.914,0.058081,-0.15045
176,78.658,75.089,30.015,2.9146,0.055375,-0.17385
177,78.669,75.042,30.313,2.9155,0.052088,-0.20838
178,78.674,74.999,30.613,2.8613,0.049944,-0.23574
179,78.671,74.962,30.914,2.865,0.048155,-0.26273
180,78.661,74.932,31.214,2.859,0.046801,-0.28733
181,78.644,74.909,31.512,3.1106,0.045959,-0.30695
182,78.621,74.892,31.81,3.1385,0.045703,-0.31891
183,78.594,74.879,32.105,3.1353,0.046369,-0.32012
184,78.563,74.869,32.4,3.1591,0.047667,-0.30983
185,78.531,74.86,32.692,3.1287,0.049656,-0.29158
186,78.498,74.85,32.983,3.1672,0.052316,-0.26794
187,78.466,74.838,33.273,3.1092,0.055617,-0.24163
188,78.437,74.821,33.561,3.0687,0.059518,-0.21497
189,78.412,74.797,33.847,2.9484,0.065582,-0.18155
190,78.392,74.766,34.131,2.9968,0.070729,-0.15911
191,78.378,74.726,34.414,2.9881,0.076353,-0.13932
192,78.369,74.677,34.695,3.0056,0.082425,-0.12216
193,78.364,74.619,34.974,3.0072,0.088918,-0.10743
194,78.359,74.553,35.25,3.0349,0.095808,-0.094905
195,78.354,74.48,35.525,2.9714,0.10556,-0.081205
196,78.346,74.401,35.797,2.9804,0.11326,-0.072837
197,78.335,74.316,36.066,2.9639,0.12124,-0.065859
198,78.317,74.225,36.332,3.0089,0.12945,-0.060089
199,78.291,74.13,36.596,3.0253,0.13783,-0.055363
200,78.256,74.03,36.857,3.0129,0.14629,-0.051537
201,78.209,73.927,37.114,3.011,0.15754,-0.047628
202,78.153,73.82,37.367,2.984,0.16579,-0.04548
203,78.088,73.707,37.614,2.9259,0.17375,-0.043924
204,78.016,73.589,37.855,2.9304,0.18124,-0.042877
205,77.939,73.464,38.089,2.9228,0.18812,-0.042297
206,77.859,73.331,38.313,2.9137,0.19422,-0.042159
207,77.776,73.19,38.527,2.922,0.20086,-0.04259
208,77.693,73.04,38.73,3.0111,0.20454,-0.043355
209,77.611,72.88,38.921,3.0523,0.20697,-0.044503
210,77.532,72.709,39.098,3.0207,0.20806,-0.046039
211,77.456,72.526,39.26,3.0169,0.20776,-0.047984
212,77.385,72.333,39.409,3.0182,0.20606,-0.050372
213,77.318,72.129,39.545,3.0793,0.20171,-0.05425
214,77.256,71.916,39.667,3.0588,0.19699,-0.0577
215,77.198,71.695,39.778,3.0817,0.19118,-0.061696
216,77.144,71.465,39.877,3.0852,0.18441,-0.06638
217,77.095,71.228,39.966,3.0732,0.17685,-0.071952
218,77.051,70.984,40.044,3.1372,0.16862,-0.078635
219,77.012,70.734,40.114,3.1395,0.15687,-0.089632
220,76.977,70.479,40.174,3.173,0.14767,-0.099658
221,76.947,70.219,40.226,3.1942,0.13832,-0.11167
222,76.921,69.956,40.27,3.1052,0.12893,-0.12616
223,76.898,69.69,40.306,3.1103,0.11965,-0.14367
224,76.876,69.422,40.332,3.0882,0.11058,-0.16499
225,76.856,69.152,40.35,2.9428,0.09901,-0.20103
226,76.836,68.881,40.359,2.9113,0.090891,-0.23472
227,76.815,68.61,40.358,2.9269,0.083414,-0.27484
228,76.792,68.34,40.348,2.948,0.076755,-0.32116
229,76.766,68.072,40.327,2.9813,0.071127,-0.37141
230,76.737,67.806,40.297,3.071,0.066778,-0.42034
231,76.703,67.543,40.257,3.0576,0.063426,-0.4682
232,76.666,67.282,40.209,3.1307,0.06304,-0.47853
233,76.626,67.022,40.153,3.1328,0.064608,-0.46245
234,76.586,66.763,40.093,2.9968,0.068104,-0.42487
235,76.545,66.504,40.03,2.9716,0.073392,-0.37564
236,76.506,66.244,39.965,2.9551,0.080286,-0.32417
237,76.469,65.982,39.9,2.9718,0.088601,-0.27648
238,76.436,65.718,39.838,3.0065,0.10164,-0.2229
239,76.408,65.45,39.779,3.0032,0.11275,-0.1905
240,76.385,65.178,39.726,3.0052,0.12492,-0.16396
241,76.37,64.902,39.68,2.9673,0.13809,-0.14231
242,76.364,64.622,39.643,2.9605,0.15223,-0.12464
243,76.366,64.34,39.614,2.9697,0.16728,-0.11012
244,76.38,64.059,39.597,2.9754,0.18865,-0.094499
245,76.405,63.779,39.591,2.9899,0.20553,-0.085043
246,76.443,63.502,39.597,2.9474,0.22299,-0.07704
247,76.494,63.23,39.618,2.9127,0.24082,-0.070143
248,76.561,62.965,39.653,2.9676,0.25877,-0.06416
249,76.644,62.708,39.704,2.9,0.2765,-0.058876
250,76.744,62.46,39.772,2.8717,0.29913,-0.052588
251,76.862,62.224,39.858,2.8897,0.31472,-0.048255
252,76.997,62.001,39.96,2.9129,0.32859,-0.044124
253,77.146,61.793,40.076,2.892,0.34022,-0.040107
254,77.308,61.6,40.207,2.9272,0.34918,-0.03617
255,77.482,61.425,40.348,2.9398,0.35512,-0.032291
256,77.665,61.269,40.501,2.8138,0.35801,-0.027153
