x,y,z,r,curvature,torsion
67.642,84.827,25.779,2.9724,0.11174,-1.1156
67.872,84.68,25.72,2.9536,0.10255,-1.292
68.105,84.539,25.658,2.9133,0.10719,-1.1609
68.343,84.405,25.593,2.8906,0.12372,-0.86031
68.587,84.279,25.53,2.9446,0.14797,-0.59539
68.836,84.162,25.471,2.9521,0.17644,-0.41363
69.092,84.055,25.417,2.9153,0.14816,-0.092314
69.353,83.958,25.369,2.9249,0.12061,-0.13736
69.619,83.867,25.325,2.9403,0.09415,-0.22387
69.887,83.783,25.286,2.959,0.069392,-0.41398
70.156,83.702,25.251,2.94,0.048226,-0.87339
70.425,83.624,25.218,2.9095,0.037206,-1.5201
70.692,83.547,25.188,2.9538,0.045539,-1.07
70.956,83.469,25.159,2.9295,0.06782,-0.51814
71.216,83.388,25.132,2.8942,0.096521,-0.2797
71.47,83.304,25.104,2.8753,0.12943,-0.17289
71.717,83.215,25.076,2.8251,0.11233,0.085198
71.958,83.12,25.049,2.86,0.093357,0.13309
72.194,83.022,25.021,2.9329,0.073175,0.22828
72.427,82.92,24.993,2.9358,0.052806,0.45147
72.658,82.815,24.966,2.9764,0.034541,1.0632
72.888,82.709,24.939,2.9585,0.025573,1.9135
73.119,82.601,24.914,3.0184,0.034138,1.0376
73.352,82.492,24.889,2.9876,0.051351,0.43431
73.588,82.384,24.865,2.9254,0.070042,0.2167
73.828,82.276,24.843,2.8645,0.088066,0.12473
74.074,82.169,24.822,2.9272,0.077682,-0.23675
74.326,82.064,24.804,2.9059,0.069272,-0.27435
74.581,81.961,24.788,2.9672,0.062903,-0.31106
74.841,81.858,24.774,2.9836,0.058695,-0.3387
75.103,81.757,24.764,2.9629,0.056752,-0.34814
75.367,81.657,24.758,2.9976,0.057075,-0.33512
75.633,81.558,24.757,2.9933,0.059527,-0.30378
75.9,81.46,24.759,3.005,0.063861,-0.26347
76.167,81.363,24.767,2.961,0.069807,-0.22273
76.433,81.267,24.78,2.9299,0.077133,-0.18639
76.698,81.171,24.799,2.9191,0.075683,-0.12929
76.961,81.077,24.824,2.9005,0.074289,-0.13757
77.223,80.982,24.855,2.8954,0.072969,-0.146
77.483,80.888,24.891,2.94,0.071743,-0.15449
77.74,80.794,24.932,2.9178,0.070629,-0.1629
77.996,80.7,24.978,2.9109,0.069646,-0.17108
78.25,80.605,25.029,2.9235,0.068812,-0.17884
78.502,80.51,25.084,2.9249,0.068144,-0.18601
78.751,80.414,25.145,2.8652,0.067659,-0.19239
78.998,80.317,25.209,2.8191,0.067369,-0.19778
79.243,80.219,25.278,2.7913,0.073101,0.49416
79.485,80.12,25.352,2.7878,0.080208,0.41703
79.724,80.021,25.431,2.8262,0.088361,0.3481
79.961,79.923,25.515,2.8455,0.097266,0.28993
80.196,79.827,25.607,2.8131,0.10666,0.24213
80.428,79.732,25.706,2.9762,0.11631,0.20325
80.659,79.639,25.812,2.9878,0.12599,0.1716
80.887,79.55,25.927,3.0005,0.13547,0.1457
81.113,79.464,26.051,3.0026,0.14453,0.12433
81.337,79.383,26.185,3.0061,0.15295,0.10652
81.56,79.306,26.329,3.0463,0.13821,-0.28463
81.779,79.233,26.482,2.9772,0.12511,-0.33276
81.996,79.163,26.644,3.0121,0.11393,-0.38667
82.209,79.095,26.814,3.0146,0.10495,-0.44216
82.418,79.028,26.991,2.9556,0.098503,-0.4911
82.623,78.962,27.174,2.9842,0.094876,-0.5225
82.823,78.894,27.364,3.01,0.094267,-0.5272
83.017,78.825,27.558,2.9843,0.096701,-0.50362
83.206,78.754,27.757,2.9478,0.10202,-0.4589
83.388,78.678,27.959,2.9439,0.10994,0.38477
83.563,78.599,28.164,2.9506,0.10456,0.43599
83.731,78.516,28.372,2.99,0.1006,0.48111
83.892,78.431,28.583,2.9779,0.098372,0.51264
84.047,78.345,28.797,2.8986,0.098097,0.52409
84.195,78.259,29.015,2.8583,0.099862,0.51305
84.337,78.173,29.237,2.888,0.10361,0.48241
84.472,78.09,29.463,2.9518,0.10913,0.43876
84.601,78.009,29.694,2.9343,0.11617,0.38935
84.723,77.933,29.929,2.8747,0.12439,0.33988
84.839,77.862,30.169,2.8653,0.13344,-0.39089
84.949,77.798,30.414,2.8452,0.12799,-0.42177
85.053,77.738,30.664,2.8904,0.12476,-0.44209
85.148,77.683,30.917,2.872,0.12391,-0.44812
85.236,77.631,31.174,2.8377,0.12549,-0.43866
85.315,77.582,31.434,2.856,0.12942,-0.41562
85.385,77.535,31.697,2.8877,0.13554,-0.38312
85.444,77.488,31.962,2.9107,0.1436,-0.34587
85.493,77.44,32.228,2.8229,0.15331,-0.30776
85.53,77.391,32.495,2.8207,0.16433,-0.27136
85.555,77.34,32.762,2.8245,0.17633,0.053263
85.568,77.285,33.029,2.8195,0.15413,0.069585
85.57,77.229,33.297,2.8355,0.13145,0.094101
85.562,77.169,33.565,2.812,0.10884,0.13359
85.546,77.108,33.834,2.7997,0.086802,0.20306
85.523,77.046,34.104,2.838,0.065859,0.33974
85.496,76.984,34.375,2.8235,0.046963,0.64255
85.465,76.921,34.648,2.7004,0.032709,1.2738
85.433,76.859,34.922,2.6591,0.029297,1.5279
85.4,76.798,35.199,2.6862,0.038765,0.84049
85.368,76.739,35.477,2.623,0.054223,1.1327
85.34,76.681,35.758,2.6389,0.043574,1.7047
85.314,76.624,36.041,2.6885,0.046067,1.5088
85.292,76.567,36.324,2.6755,0.059924,0.8976
85.275,76.506,36.606,2.7715,0.079804,0.51789
85.262,76.441,36.885,2.8728,0.10293,0.3233
85.254,76.371,37.161,2.8756,0.12833,0.21863
85.251,76.292,37.433,2.8578,0.15566,0.15759
85.254,76.205,37.699,2.8704,0.18467,0.11924
85.263,76.107,37.957,2.9777,0.21494,0.093545
85.279,75.996,38.208,2.9866,0.24578,0.25689
